"Index" "pairReturn"
"2016-09-20" -0.00246282933826069
"2016-09-21" -0.00595381727999798
"2016-09-22" -0.00508037116192368
"2016-09-23" 0.00374379457830942
"2016-09-26" 0.0185012075946489
"2016-09-27" -0.00826315603176714
"2016-09-28" -0.00492041391671512
"2016-09-29" 0.0146909905115312
"2016-09-30" -0.0138903159680902
"2016-10-03" 0.00352775732355608
"2016-10-04" -0.00554726223074321
"2016-10-05" -0.0161559481522548
"2016-10-06" -0.00183534905428977
"2016-10-07" -0.000514360667872819
"2016-10-10" -0.00574907311127348
"2016-10-11" 0.00810902279640948
"2016-10-12" 0.00139247586737244
"2016-10-13" 0.0088429411103555
"2016-10-14" -0.00294732088193674
"2016-10-17" 0.0047495295103247
"2016-10-18" -0.00819852284541116
"2016-10-19" -0.00889608555277094
"2016-10-20" 0.000255214772205903
"2016-10-21" -0.000230950876828484
"2016-10-24" -0.00351987319515241
"2016-10-25" 0.00101503088154707
"2016-10-26" -0.00586189282545023
"2016-10-27" -0.00233602184055703
"2016-10-28" 0.00404162401012814
"2016-10-31" 0.000871970401076483
"2016-11-01" 0.0040767430380231
"2016-11-02" 0.00617675242390338
"2016-11-03" -3.91633065829793e-05
"2016-11-04" 0.00416653001453621
"2016-11-07" -0.0262677685900837
"2016-11-08" 0.000810578598549066
"2016-11-09" 0.0431942813155774
"2016-11-10" 0.0390379384792944
"2016-11-11" 0.0021749131893828
"2016-11-14" 0.0281136675112973
"2016-11-15" -0.00122910506734198
"2016-11-16" -0.0180910198466062
"2016-11-17" 0.0116137658134027
"2016-11-18" -0.00151169694736788
"2016-11-21" 0.00390810623163682
"2016-11-22" 0.00271966883012656
"2016-11-23" 0.00517594787080162
"2016-11-25" 0.000629466738891306
"2016-11-28" -0.00944810568993223
"2016-11-29" 0.00482273140300042
"2016-11-30" 0.0145202829792726
"2016-12-01" 0.0186024866508835
"2016-12-02" -0.00702223275790644
"2016-12-05" 0.0158271473644942
"2016-12-06" 0.00702516370323257
"2016-12-07" 0.0101682615808673
"2016-12-08" 0.0109374359233063
"2016-12-09" 0.00326439711873359
"2016-12-12" -0.00926347140136075
"2016-12-13" 0.00135105494500006
"2016-12-14" -0.00231440886764176
"2016-12-15" 0.0120457925433647
"2016-12-16" -0.0106418486482656
"2016-12-19" 0.00333846520602265
"2016-12-20" 0.0126637995043063
"2016-12-21" 0.00023494645367871
"2016-12-22" -0.000272726066793857
"2016-12-23" 0.00177699489522079
"2016-12-27" 0.00107892935416997
"2016-12-28" -0.00855806356173587
"2016-12-29" -0.00715238336450501
"2016-12-30" 0.00352954366537008
"2017-01-03" 0.0110236773903956
"2017-01-04" 0.00464555899800861
"2017-01-05" -0.00961850760704868
"2017-01-06" 0.00159200680796308
"2017-01-09" -0.0026554306134032
"2017-01-10" 0.00256078464065658
"2017-01-11" 0.00702323667152514
"2017-01-12" -0.00912974191885609
"2017-01-13" 0.00543415706915925
"2017-01-17" -0.0308060008092371
"2017-01-18" 0.00626160381868673
"2017-01-19" -0.00616701547166737
"2017-01-20" 0.00458835156891347
"2017-01-23" -0.00258605085404903
"2017-01-24" 0.0123043156859122
"2017-01-25" 0.0160257556535984
"2017-01-26" 0.00580905383734957
"2017-01-27" -0.000492726834172687
"2017-01-30" -0.00934290289929844
"2017-01-31" -0.011997139681404
"2017-02-01" 0.00271163210655524
"2017-02-02" -0.00407585447239646
"2017-02-03" 0.0262628100967754
"2017-02-06" -0.00467593998775086
"2017-02-07" -0.00136412432766546
"2017-02-08" -0.0079891474349016
"2017-02-09" 0.0141358974664189
"2017-02-10" -0.000273685981683982
"2017-02-13" 0.0125037028918201
"2017-02-14" 0.0143313898288511
"2017-02-15" 0.0100939682732631
"2017-02-16" -0.00134779116813273
"2017-02-17" -0.00187095003782934
"2017-02-21" 0.00717712045030086
"2017-02-22" 0.000653772349026761
"2017-02-23" 0.000460625613022882
"2017-02-24" -0.00834798282852533
"2017-02-27" 0.00283362611626639
"2017-02-28" 0.00106684454448507
"2017-03-01" 0.0310699897115744
"2017-03-02" -0.0155361756376317
"2017-03-03" 0.00616996746678728
"2017-03-06" -0.00868556906469518
"2017-03-07" -0.00438671288781492
"2017-03-08" -0.00107118941161121
"2017-03-09" 0.00381389029099352
"2017-03-10" -0.0021337137718709
"2017-03-13" 0.00155786745859646
"2017-03-14" -0.00034596915063555
"2017-03-15" 0.000601792886140449
"2017-03-16" 0.000185808396173757
"2017-03-17" -0.0101712838267035
"2017-03-20" -0.0076254038450204
"2017-03-21" -0.0287434403047652
"2017-03-22" -8.42250609699605e-05
"2017-03-23" 8.81604944878422e-05
"2017-03-24" -0.00120254590102724
"2017-03-27" -0.00204629192712288
"2017-03-28" 0.0147084919284469
"2017-03-29" -0.00489351393691128
"2017-03-30" 0.0106452123412511
"2017-03-31" -0.0111121018370165
"2017-04-03" -0.00295151363268756
"2017-04-04" 0.00126245205331018
"2017-04-05" -0.00735329569375011
"2017-04-06" 0.00472745002605514
"2017-04-07" -0.00381303475941254
"2017-04-10" -0.00306282068900278
"2017-04-11" -0.00230260310249573
"2017-04-12" -0.00577062350168503
"2017-04-13" -0.0122611085029898
"2017-04-17" 0.0173755330053499
"2017-04-18" -0.00874739496620958
"2017-04-19" -0.00579403399683133
"2017-04-20" 0.0148135198902632
"2017-04-21" -0.0111930170080349
"2017-04-24" 0.0291454706676176
"2017-04-25" 0.00877315025668708
"2017-04-26" 0.000603950537660806
"2017-04-27" -0.0070395896590251
"2017-04-28" -0.00827625354231248
"2017-05-01" 0.00346405690657837
